time (seconds),encoderLeft (meters),encoderRight (meters)
96.897,0.2726787030696869,-0.05842258408665657
96.995,0.27573755383491516,-0.05520758032798767
97.101,0.27879640460014343,-0.051992591470479965
97.198,0.2818552255630493,-0.04877762496471405
97.302,0.2849140465259552,-0.04556265473365784
97.396,0.28797289729118347,-0.04234766960144043
97.498,0.29103171825408936,-0.03913269564509392
97.599,0.2940905690193176,-0.03591771051287651
97.703,0.2971494495868683,-0.03270269185304642
97.798,0.3002082407474518,-0.029487742111086845
97.899,0.30326709151268005,-0.026272762566804886
98.001,0.3061741292476654,-0.02319924533367157
98.1,0.30908113718032837,-0.020125754177570343
98.201,0.31198808550834656,-0.01705232821404934
98.299,0.31489503383636475,-0.01397889293730259
98.401,0.31780198216438293,-0.010905471630394459
98.499,0.3207089304924011,-0.007832028903067112
98.6,0.3236159086227417,-0.0047585670836269855
98.699,0.3265228569507599,-0.0016851392574608326
98.801,0.32942986488342285,0.0013883569044992328
98.901,0.3322047293186188,0.004338683094829321
99.001,0.3349795639514923,0.007288968190550804
99.101,0.337754487991333,0.010239318013191223
99.201,0.34052929282188416,0.013189594261348248
99.299,0.34330418705940247,0.01613992266356945
99.4,0.3460790514945984,0.01909025013446808
99.499,0.34885385632514954,0.022040510550141335
99.605,0.35162875056266785,0.024990860372781754
99.702,0.3544035851955414,0.02794114127755165
99.803,0.3571785092353821,0.030891485512256622
99.895,0.3598398268222809,0.033735595643520355
100.001,0.3625011146068573,0.0365796759724617
100.101,0.3651624023914337,0.03942375257611275
100.201,0.3678237199783325,0.04226783290505409
100.302,0.37048500776290894,0.045111898332834244
100.402,0.37314626574516296,0.047955963760614395
100.501,0.3758075535297394,0.050800032913684845
100.604,0.3784688115119934,0.05364407226443291
100.702,0.3811301290988922,0.05648816376924515
100.795,0.38379135727882385,0.05933217704296112
100.9,0.38645267486572266,0.06217627972364426
100.999,0.3891139328479767,0.06502031534910202
101.102,0.3917752206325531,0.06786439567804337
101.201,0.3944365382194519,0.07070847600698471
101.301,0.39709779620170593,0.07355252653360367
101.397,0.39975908398628235,0.07639659941196442
101.501,0.40232428908348083,0.07915003597736359
101.602,0.40488943457603455,0.08190345764160156
101.693,0.40745458006858826,0.08465682715177536
101.799,0.41001972556114197,0.08741024136543274
101.919,0.41250520944595337,0.09008735418319702
102.001,0.41499063372612,0.09276441484689713
102.1,0.4174760580062866,0.09544147551059723
102.198,0.41996151208877563,0.09811855852603912
102.305,0.42244693636894226,0.10079563409090042
102.397,0.4249323308467865,0.10347266495227814
102.498,0.4274177849292755,0.10614974796772003
102.6,0.4299032390117645,0.10882684588432312
102.708,0.43238863348960876,0.11150387674570084
102.796,0.4348740875720978,0.11418095976114273
102.897,0.43729516863822937,0.11679484695196152
103.001,0.4397161900997162,0.11940865218639374
103.099,0.4421372413635254,0.12202250212430954
103.201,0.4445582926273346,0.12463633716106415
103.297,0.446979284286499,0.12725014984607697
103.398,0.4494003355503082,0.12986397743225098
103.502,0.45182138681411743,0.13247781991958618
103.596,0.45424243807792664,0.1350916624069214
103.702,0.45666342973709106,0.137705460190773
103.807,0.45908451080322266,0.1403193324804306
103.899,0.461455374956131,0.14288181066513062
104.001,0.4638262689113617,0.14544430375099182
104.095,0.46619704365730286,0.14800670742988586
104.199,0.46856793761253357,0.15056920051574707
104.301,0.4709388017654419,0.15313167870044708
104.401,0.4733096659183502,0.1556941419839859
104.5,0.47568053007125854,0.1582566201686859
104.601,0.4780513644218445,0.16081905364990234
104.701,0.4804222285747528,0.16338154673576355
104.801,0.48279309272766113,0.16594401001930237
104.897,0.4851267337799072,0.16846570372581482
105,0.4874604046344757,0.17098742723464966
105.099,0.4897940158843994,0.17350909113883972
105.197,0.4921276569366455,0.17603078484535217
105.304,0.4944612681865692,0.17855246365070343
105.391,0.4967949092388153,0.18107415735721588
105.499,0.4991285502910614,0.18359583616256714
105.599,0.5014622211456299,0.1861175298690796
105.7,0.503795862197876,0.18863925337791443
105.798,0.5061295032501221,0.1911609172821045
105.896,0.5084375739097595,0.19365118443965912
106.001,0.510745644569397,0.19614137709140778
106.1,0.5130536556243896,0.19863156974315643
106.199,0.5153617262840271,0.2011217623949051
106.3,0.5176697969436646,0.20361201465129852
106.395,0.5199778079986572,0.206102192401886
106.499,0.5222858786582947,0.20859239995479584
106.599,0.5245939493179321,0.21108265221118927
106.703,0.5269019603729248,0.21357282996177673
106.8,0.5292100310325623,0.21606305241584778
106.898,0.5315027236938477,0.21852977573871613
107.002,0.5337953567504883,0.22099649906158447
107.1,0.5360880494117737,0.223463237285614
107.201,0.5383807420730591,0.22592997550964355
107.3,0.5406734943389893,0.22839680314064026
107.403,0.5429661870002747,0.2308635115623474
107.501,0.5452589392662048,0.23333029448986053
107.598,0.5475515723228455,0.23579703271389008
107.7,0.5498443245887756,0.23826384544372559
107.801,0.552137017250061,0.24073058366775513
107.903,0.5544231534004211,0.24318066239356995
108.002,0.5567092895507812,0.24563075602054596
108.099,0.5589954257011414,0.24808081984519958
108.202,0.5612815618515015,0.2505308985710144
108.299,0.5635676980018616,0.2529810070991516
108.397,0.5658538937568665,0.2554311156272888
108.5,0.5681400299072266,0.257881224155426
108.609,0.5704261660575867,0.26033130288124084
108.702,0.5727123022079468,0.26278141140937805
108.801,0.5749984383583069,0.2652314603328705
108.9,0.5772853493690491,0.26767051219940186
109,0.579572319984436,0.2701095938682556
109.097,0.581859290599823,0.2725486755371094
109.202,0.5841462016105652,0.27498775720596313
109.301,0.5864332318305969,0.2774268686771393
109.402,0.5887201428413391,0.27986592054367065
109.5,0.5910071134567261,0.2823050320148468
109.602,0.593294084072113,0.28474411368370056
109.701,0.5955809950828552,0.28718316555023193
109.802,0.5978679656982422,0.2896222770214081
109.896,0.6001617312431335,0.2920549511909485
109.992,0.6024554371833801,0.2944876551628113
110.101,0.6047491431236267,0.2969202995300293
110.201,0.6070429682731628,0.2993530333042145
110.301,0.6093366742134094,0.3017856776714325
110.409,0.611630380153656,0.3042183816432953
110.501,0.6139242053031921,0.30665111541748047
110.594,0.6162179112434387,0.3090837895870209
110.7,0.6185116767883301,0.3115164637565613
110.799,0.6208054423332214,0.31394919753074646
110.901,0.623099148273468,0.31638187170028687
111,0.6253929138183594,0.31881457567214966
111.103,0.6276866793632507,0.32124724984169006
111.197,0.6299803853034973,0.32367992401123047
111.299,0.6322855949401855,0.32610997557640076
111.4,0.6345908045768738,0.32853999733924866
111.505,0.636896014213562,0.33097001910209656
111.6,0.6392012238502502,0.33340001106262207
111.702,0.6415064334869385,0.33583003282546997
111.8,0.6438117027282715,0.33826011419296265
111.899,0.6461318731307983,0.3406904935836792
112.005,0.6484520435333252,0.343120813369751
112.103,0.6507722735404968,0.3455512225627899
112.2,0.6530924439430237,0.34798160195350647
112.299,0.6554126143455505,0.35041192173957825
112.393,0.6577328443527222,0.3528423309326172
112.499,0.6600530743598938,0.35527271032333374
112.602,0.6623732447624207,0.3577030599117279
112.7,0.6646934151649475,0.36013343930244446
112.803,0.6670136451721191,0.3625637888908386
112.908,0.6693512201309204,0.36499688029289246
112.998,0.6716887950897217,0.3674299716949463
113.102,0.6740264296531677,0.36986303329467773
113.198,0.6763640642166138,0.37229618430137634
113.297,0.6787016987800598,0.3747292757034302
113.399,0.6810392737388611,0.3771623373031616
113.501,0.6833769083023071,0.37959545850753784
113.601,0.6857144832611084,0.3820285499095917
113.7,0.6880521178245544,0.3844616413116455
113.799,0.6903896927833557,0.38689470291137695
113.9,0.6927273273468018,0.3893278241157532
114.002,0.6950839161872864,0.39176562428474426
114.095,0.6974405646324158,0.39420345425605774
114.199,0.6997970938682556,0.39664122462272644
114.301,0.7021536827087402,0.39907902479171753
114.401,0.7045102715492249,0.40151679515838623
114.5,0.7068669199943542,0.4039546251296997
114.602,0.7092235088348389,0.4063923954963684
114.7,0.7115801572799683,0.4088302254676819
114.799,0.7139564752578735,0.41127437353134155
114.906,0.7163328528404236,0.4137185215950012
115.004,0.7187092900276184,0.4161626696586609
115.1,0.7210856676101685,0.41860681772232056
115.2,0.7234621047973633,0.4210509955883026
115.301,0.7258384227752686,0.4234951138496399
115.396,0.7282148599624634,0.42593926191329956
115.499,0.7305912375450134,0.42838340997695923
115.597,0.7329676151275635,0.4308275878429413
115.7,0.7353439927101135,0.43327170610427856
115.8,0.7377204298973083,0.4357158839702606
115.899,0.7401167750358582,0.43816787004470825
116.001,0.7425131797790527,0.4406197965145111
116.1,0.7449096441268921,0.44307181239128113
116.203,0.7473060488700867,0.44552382826805115
116.304,0.7497024536132812,0.4479757845401764
116.404,0.7520988583564758,0.450427770614624
116.501,0.7544953227043152,0.45287975668907166
116.601,0.7568917274475098,0.4553317427635193
116.695,0.7592881321907043,0.4577837288379669
116.8,0.7616845369338989,0.46023571491241455
116.9,0.7641007900238037,0.46269690990448
117,0.7665169835090637,0.4651581346988678
117.103,0.7689332365989685,0.4676193296909332
117.204,0.7713494896888733,0.47008058428764343
117.301,0.7737656831741333,0.47254177927970886
117.398,0.7761819362640381,0.4750030040740967
117.5,0.7785981297492981,0.4774641990661621
117.602,0.7810143232345581,0.47992536425590515
117.697,0.7834305167198181,0.4823865294456482
117.797,0.7858660817146301,0.4848584532737732
117.896,0.7883015871047974,0.48733028769493103
118.002,0.7907371520996094,0.48980218172073364
118.098,0.7931726574897766,0.4922740161418915
118.202,0.7956082820892334,0.4947459101676941
118.3,0.7980437874794006,0.49721774458885193
118.403,0.8004793524742126,0.49968963861465454
118.498,0.8029148578643799,0.5021615028381348
118.601,0.8053504824638367,0.504633367061615
118.709,0.8077859878540039,0.5071052312850952
118.8,0.8102215528488159,0.5095771551132202
118.9,0.8126758337020874,0.5120612382888794
119,0.8151301741600037,0.5145454406738281
119.095,0.8175845146179199,0.5170295834541321
119.197,0.8200387954711914,0.519513726234436
119.301,0.8224931359291077,0.5219978094100952
119.402,0.8249474167823792,0.524482011795044
119.5,0.8274017572402954,0.5269661545753479
119.601,0.8298560976982117,0.5294502973556519
119.7,0.8323103785514832,0.5319344401359558
119.8,0.8347647190093994,0.5344185829162598
119.901,0.8372374176979065,0.536916971206665
119.999,0.8397101163864136,0.5394153594970703
120.105,0.8421828746795654,0.5419138073921204
120.2,0.8446555137634277,0.5444121360778809
120.302,0.8471282720565796,0.5469105839729309
120.401,0.8496009707450867,0.549409031867981
120.497,0.8520736694335938,0.5519073605537415
120.598,0.8545463681221008,0.5544058084487915
120.701,0.8570190668106079,0.5569041967391968
120.799,0.859491765499115,0.559402585029602
